MessageName,E2E_Type,E2E_Config
ABS_ESP_1,E2E_XOR,MSG_E2E_CFG_NULL
ABS_ESP_3,E2E_XOR,MSG_E2E_CFG_NULL
ABS_ESP_4,E2E_XOR,MSG_E2E_CFG_NULL
ABS_ESP_7,E2E_XOR,MSG_E2E_CFG_NULL
ABS_ESP_8,E2E_XOR,MSG_E2E_CFG_NULL
ABS_ESP_G,E2E_NONE,MSG_E2E_CFG_NULL
BCM_1,E2E_XOR,MSG_E2E_CFG_NULL
BCM_9,E2E_NONE,MSG_E2E_CFG_NULL
CLM_2,E2E_CRC8,MSG_E2E_CFG_NULL
DMS_1,E2E_CRC8,MSG_E2E_CFG_NULL
EMS_1,E2E_XOR,MSG_E2E_CFG_NULL
EMS_2,E2E_NONE,MSG_E2E_CFG_NULL
EMS_2_G,E2E_CRC8,MSG_E2E_CFG_NULL
EMS_3,E2E_XOR,MSG_E2E_CFG_NULL
EMS_6,E2E_CRC8,MSG_E2E_CFG_NULL
EPB_G,E2E_NONE,MSG_E2E_CFG_NULL
EPB_State_R,E2E_CRC8,MSG_E2E_CFG_NULL
EPS_1,E2E_NONE,MSG_E2E_CFG_NULL
EPS_2,E2E_CRC8,MSG_E2E_CFG_NULL
EPS_3,E2E_CRC8,MSG_E2E_CFG_NULL
EPS_4,E2E_CRC8,MSG_E2E_CFG_NULL
HCU_17,E2E_CRC8,MSG_E2E_CFG_NULL
HCU_1_G,E2E_NONE,MSG_E2E_CFG_NULL
HCU_3_G,E2E_NONE,MSG_E2E_CFG_NULL
HCU_6,E2E_CRC8,MSG_E2E_CFG_NULL
ICM_1,E2E_XOR,MSG_E2E_CFG_NULL
ICM_2,E2E_NONE,MSG_E2E_CFG_NULL
ICM_3,E2E_NONE,MSG_E2E_CFG_NULL
ICM_5,E2E_XOR,MSG_E2E_CFG_NULL
IHU_10,E2E_NONE,MSG_E2E_CFG_NULL
IHU_11,E2E_NONE,MSG_E2E_CFG_NULL
IHU_29,E2E_NONE,MSG_E2E_CFG_NULL
IHU_30,E2E_NONE,MSG_E2E_CFG_NULL
IHU_31,E2E_NONE,MSG_E2E_CFG_NULL
IHU_34,E2E_CRC8,MSG_E2E_CFG_NULL
IHU_35,E2E_CRC8,MSG_E2E_CFG_NULL
IHU_40,E2E_NONE,MSG_E2E_CFG_NULL
IPB_11,E2E_CRC8,MSG_E2E_CFG_NULL
MFS_2,E2E_CRC8,MSG_E2E_CFG_NULL
RLCR_1,E2E_CRC8,MSG_E2E_CFG_NULL
RLCR_3,E2E_CRC8,MSG_E2E_CFG_NULL
RLCR_4,E2E_CRC8,MSG_E2E_CFG_NULL
RLCR_5,E2E_CRC8,MSG_E2E_CFG_NULL
RLCR_6,E2E_CRC8,MSG_E2E_CFG_NULL
RLCR_7,E2E_CRC8,MSG_E2E_CFG_NULL
RLCR_8,E2E_CRC8,MSG_E2E_CFG_NULL
RLCR_9,E2E_CRC8,MSG_E2E_CFG_NULL
RRCR_1,E2E_CRC8,MSG_E2E_CFG_NULL
RRCR_2,E2E_CRC8,MSG_E2E_CFG_NULL
RRCR_3,E2E_CRC8,MSG_E2E_CFG_NULL
RRCR_4,E2E_CRC8,MSG_E2E_CFG_NULL
RRCR_5,E2E_CRC8,MSG_E2E_CFG_NULL
RRCR_6,E2E_CRC8,MSG_E2E_CFG_NULL
RRCR_7,E2E_CRC8,MSG_E2E_CFG_NULL
RRCR_8,E2E_CRC8,MSG_E2E_CFG_NULL
SAM_1_G,E2E_CRC8,MSG_E2E_CFG_NULL
TCU_2,E2E_XOR,MSG_E2E_CFG_NULL
TCU_4,E2E_CRC8,MSG_E2E_CFG_NULL
VCU_2,E2E_CRC8_MULT,MSG_E2E_CFG_NULL
VCU_6,E2E_CRC8,MSG_E2E_CFG_NULL
YAS_1,E2E_XOR,MSG_E2E_CFG_NULL
YAS_2,E2E_XOR,MSG_E2E_CFG_NULL
